Sales Order #,Select,Line #,PO Type,Sub Type,Billing Account,End User,Date Ordered,PO #,Sales Team,Hold Name,Hold Description,Applied By,Applied On,Applied Comments,Released By,Released On,Release Comments,Release Reason,Releasing Role,Hold Level,Assigned To,Status
13752235433,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,FBE_SBL_TEST_USER_19,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,PRATIBHAB,2/22/2018 3:27,,,,,,QR Team,Header,,On Hold
13752223564,N,,Standard,Sales Order,ACCAD_AFFINITY,ABCDS,,5123137,FBE_SBL_TEST_USER_02,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,PADMINIM,2/16/2018 4:41,,,,,,QR Team,Header,,On Hold
13751810726,N,,Staggered,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,44445555,MAHESH_SALVI,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,VINODP,1/28/2018 11:19,,,,,,QR Team,Header,,On Hold
13751614865,N,,Standard,Sales Order,Test Billing Account,A1AB_AFFINITY,,123-45,MAHESH_SALVI,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,VINODP,1/28/2018 7:51,,,,,,QR Team,Header,,On Hold
13751553326,N,,Standard,Sales Order,A1AB_AFFINITY,A1AB_AFFINITY,10/13/2017 2:06,123-45,FBE_SBL_TEST_USER_02,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",TIJOG,1/24/2018 7:07,,,,,,QR Team,Header,,On Hold
13751504312,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,ACHAL_SOLANKI,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,ABHISHEKK,1/5/2018 3:20,,,,,,QR Team,Header,,On Hold
13751478025,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,11/20/2017 6:17,123456,MAHUA_BHATTACHARYA,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",VINODP,12/8/2017 9:41,,,,,,QR Team,Header,TIJOG,On Hold
13751453228,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,PRATIBHAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,PRATIBHAB,12/6/2017 7:42,,,,,,QR Team,Header,,On Hold
13751340637,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,NANDITAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,NANDITAB,12/6/2017 4:28,,,,,,QR Team,Header,,On Hold
13751338089,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,654567HH,SADMIN,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,LDAPUSER,11/27/2017 4:19,,,,,,QR Team,Header,,On Hold
13751298892,N,,,Sales Order,A100V,ACCAD_AFFINITY,,,MAHESH_SALVI,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",TIJOG,11/13/2017 22:47,,,,,,QR Team,Header,,On Hold
13751289454,N,,Standard,Sales Order,PENTAGON,PENTAGON,11/10/2017 8:08,212121,SADMIN,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,VINODP,11/10/2017 6:07,,,,,,QR Team,Header,,On Hold
13751275061,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,FBE_SBL_TEST_USER_19,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",VINODP,11/10/2017 3:12,,,,,,QR Team,Header,,On Hold
13751266422,N,,,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,,VIVEK_DUBEY,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,TIJOG,11/7/2017 8:30,,,,,,QR Team,Header,,On Hold
